fecha,clae2,salario_median,salario_normalizado
2019-01-01,1,19295,0.7774520765968592
2019-01-01,2,16562,0.7747186565680585
2019-01-01,3,42696,0.7283106840279752
2019-01-01,5,47429,0.8324732858727552
2019-01-01,6,112666,0.7194795450009978
2019-01-01,7,114243,0.9854226147861265
2019-01-01,8,35675,0.7855031458657874
2019-01-01,9,99337,0.7435061006415623
2019-01-01,10,34741,0.7920418124027502
2019-01-01,11,41653,0.8119677835428356
2019-01-01,12,54160,0.8084235665818754
2019-01-01,13,25614,0.7831271274535783
2019-01-01,14,25932,0.8013473215803217
2019-01-01,15,28483,0.7648068381423344
2019-01-01,16,19910,0.8004931885038832
2019-01-01,17,39501,0.7768230707333582
2019-01-01,18,30800,0.7898617314555596
2019-01-01,19,76580,0.7648318503494327
2019-01-01,20,46879,0.8160545208464194
2019-01-01,21,64824,0.8369084582959467
2019-01-01,22,35154,0.8040453096022735
2019-01-01,23,37251,0.8082201192589887
2019-01-01,24,46708,0.7856774396124431
2019-01-01,25,25146,0.7458401305057096
2019-01-01,26,34856,0.74672627070684
2019-01-01,27,30170,0.7422031156786411
2019-01-01,28,30614,0.7556990928352498
2019-01-01,29,45568,0.7306652627471836
2019-01-01,30,28422,0.7934396482534808
2019-01-01,31,26368,0.8231404184692548
2019-01-01,32,30197,0.8002491089056434
2019-01-01,33,32792,0.7801056254262286
2019-01-01,35,69543,0.8332294936617862
2019-01-01,36,46308,0.827666327574728
2019-01-01,37,36020,0.8236751338681708
2019-01-01,38,49904,0.7769507516538721
2019-01-01,39,35881,0.750562173808453
2019-01-01,41,15624,0.7460872679520086
2019-01-01,42,32386,0.7473333012835922
2019-01-01,43,22143,0.7706760484130598
2019-01-01,45,31475,0.8182284930687793
2019-01-01,46,33384,0.8301225266220325
2019-01-01,47,30869,0.822157512051776
2019-01-01,49,41016,0.8101725883311524
2019-01-01,50,68144,0.8236251561178034
2019-01-01,51,62604,0.7322826126158618
2019-01-01,52,35917,0.7883320621368173
2019-01-01,53,36877,0.7882199130066154
2019-01-01,55,26931,0.7934144820508793
2019-01-01,56,14681,0.8155658018998945
2019-01-01,58,36742,0.8552872528632174
2019-01-01,59,28331,0.826890756302521
2019-01-01,60,49765,0.8303762125122364
2019-01-01,61,82768,1.0965130079101784
2019-01-01,62,45740,0.7810169954580123
2019-01-01,63,44780,0.8122533318620789
2019-01-01,64,70351,0.7789456978671105
2019-01-01,65,46614,0.8132724822222771
2019-01-01,66,34200,0.8417252907274853
2019-01-01,68,27128,0.796385226791791
2019-01-01,69,26917,0.8420662956059283
2019-01-01,70,32500,0.8093385214007782
2019-01-01,71,29461,0.8048079221444425
2019-01-01,72,41788,0.7966751186776734
2019-01-01,73,33084,0.8278260724510457
2019-01-01,74,31000,0.8044617350855605
2019-01-01,75,17445,0.826911150699758
2019-01-01,77,31184,0.8120146081386341
2019-01-01,78,25469,0.8289790604318108
2019-01-01,79,31660,0.8062647227350863
2019-01-01,80,28215,0.8398675381695957
2019-01-01,81,18779,0.8017732742241925
2019-01-01,82,24167,0.836947550086291
2019-01-01,85,19118,0.788476806169899
2019-01-01,86,32667,0.7993849692688557
2019-01-01,87,25076,0.7962383274634378
2019-01-01,88,24734,0.7934557703103697
2019-01-01,90,20000,0.9221866582645216
2019-01-01,91,27457,0.8133941289594715
2019-01-01,92,31906,0.8109615967093182
2019-01-01,93,22647,0.795361823428528
2019-01-01,94,32484,0.7813850557662547
2019-01-01,95,28766,0.8088270096372612
2019-01-01,96,19371,0.8170803294304565
2019-02-01,1,19001,0.7656059552949946
2019-02-01,2,16562,0.7747186565680585
2019-02-01,3,43113,0.7354238926479786
2019-02-01,5,44014,0.7725332434671497
2019-02-01,6,155082,0.9903460387148274
2019-02-01,7,103221,0.8903504610421537
2019-02-01,8,33988,0.7483582598931011
2019-02-01,9,103963,0.7781302509739446
2019-02-01,10,33052,0.7535351884958896
2019-02-01,11,38160,0.7438765663936476
2019-02-01,12,48123,0.718311803814985
2019-02-01,13,24274,0.7421577220195268
2019-02-01,14,24718,0.7638324500548508
2019-02-01,15,26774,0.7189178908269095
2019-02-01,16,18933,0.7612123323929694
2019-02-01,17,37267,0.7328894300655695
2019-02-01,18,29270,0.7506250934968907
2019-02-01,19,75662,0.7556634560086025
