fecha,clae2,w_median
2019-01-01,1,19295
2019-01-01,2,16562
2019-01-01,3,42696
2019-01-01,5,47429
2019-01-01,6,112666
2019-01-01,7,114243
2019-01-01,8,35675
2019-01-01,9,99337
2019-01-01,10,34741
2019-01-01,11,41653
2019-01-01,12,54160
2019-01-01,13,25614
2019-01-01,14,25932
2019-01-01,15,28483
2019-01-01,16,19910
2019-01-01,17,39501
2019-01-01,18,30800
2019-01-01,19,76580
2019-01-01,20,46879
2019-01-01,21,64824
2019-01-01,22,35154
2019-01-01,23,37251
2019-01-01,24,46708
2019-01-01,25,25146
2019-01-01,26,34856
2019-01-01,27,30170
2019-01-01,28,30614
2019-01-01,29,45568
2019-01-01,30,28422
2019-01-01,31,26368
2019-01-01,32,30197
2019-01-01,33,32792
2019-01-01,35,69543
2019-01-01,36,46308
2019-01-01,37,36020
2019-01-01,38,49904
2019-01-01,39,35881
2019-01-01,41,15624
2019-01-01,42,32386
2019-01-01,43,22143
2019-01-01,45,31475
2019-01-01,46,33384
2019-01-01,47,30869
2019-01-01,49,41016
2019-01-01,50,68144
2019-01-01,51,62604
2019-01-01,52,35917
2019-01-01,53,36877
2019-01-01,55,26931
2019-01-01,56,14681
2019-01-01,58,36742
2019-01-01,59,28331
2019-01-01,60,49765
2019-01-01,61,82768
2019-01-01,62,45740
2019-01-01,63,44780
2019-01-01,64,70351
2019-01-01,65,46614
2019-01-01,66,34200
2019-01-01,68,27128
2019-01-01,69,26917
2019-01-01,70,32500
2019-01-01,71,29461
2019-01-01,72,41788
2019-01-01,73,33084
2019-01-01,74,31000
2019-01-01,75,17445
2019-01-01,77,31184
2019-01-01,78,25469
2019-01-01,79,31660
2019-01-01,80,28215
2019-01-01,81,18779
2019-01-01,82,24167
2019-01-01,85,19118
2019-01-01,86,32667
2019-01-01,87,25076
2019-01-01,88,24734
2019-01-01,90,20000
2019-01-01,91,27457
2019-01-01,92,31906
2019-01-01,93,22647
2019-01-01,94,32484
2019-01-01,95,28766
2019-01-01,96,19371
2019-01-01,999,32304
2019-02-01,1,19001
2019-02-01,2,16562
2019-02-01,3,43113
2019-02-01,5,44014
2019-02-01,6,155082
2019-02-01,7,103221
2019-02-01,8,33988
2019-02-01,9,103963
2019-02-01,10,33052
2019-02-01,11,38160
2019-02-01,12,48123
2019-02-01,13,24274
2019-02-01,14,24718
2019-02-01,15,26774
2019-02-01,16,18933
2019-02-01,17,37267
2019-02-01,18,29270
2019-02-01,19,75662
2019-02-01,20,43856
2019-02-01,21,60415
2019-02-01,22,32579
2019-02-01,23,34472
2019-02-01,24,43000
2019-02-01,25,23115
2019-02-01,26,35931
2019-02-01,27,28654
2019-02-01,28,27752
2019-02-01,29,45995
2019-02-01,30,26451
2019-02-01,31,23496
2019-02-01,32,28770
2019-02-01,33,31210
2019-02-01,35,67325
2019-02-01,36,43930
2019-02-01,37,33992
2019-02-01,38,45007
2019-02-01,39,35007
2019-02-01,41,15291
2019-02-01,42,31541
2019-02-01,43,20657
2019-02-01,45,31191
2019-02-01,46,32687
2019-02-01,47,30280
2019-02-01,49,40120
2019-02-01,50,64376
2019-02-01,51,64079
2019-02-01,52,35084
2019-02-01,53,37084
2019-02-01,55,25441
2019-02-01,56,13682
2019-02-01,58,33637
2019-02-01,59,27264
2019-02-01,60,47383
2019-02-01,61,58286
2019-02-01,62,45540
2019-02-01,63,43551
2019-02-01,64,73063
2019-02-01,65,45625
2019-02-01,66,33451
2019-02-01,68,25853
2019-02-01,69,25836
2019-02-01,70,31820
2019-02-01,71,28649
2019-02-01,72,40320
2019-02-01,73,31984
2019-02-01,74,30642
2019-02-01,75,17022
2019-02-01,77,30869
2019-02-01,78,25209
2019-02-01,79,32022
2019-02-01,80,27596
2019-02-01,81,19062
2019-02-01,82,23696
2019-02-01,85,19044
2019-02-01,86,31621
2019-02-01,87,23826
2019-02-01,88,24483
2019-02-01,90,16520
2019-02-01,91,26635
2019-02-01,92,30547
2019-02-01,93,22675
2019-02-01,94,32158
2019-02-01,95,27939
2019-02-01,96,18800
2019-02-01,999,32457
2019-03-01,1,21689
2019-03-01,2,16985
2019-03-01,3,41998
2019-03-01,5,46842
2019-03-01,6,132138
2019-03-01,7,93935
2019-03-01,8,34578
2019-03-01,9,103424
2019-03-01,10,35057
2019-03-01,11,40426
2019-03-01,12,50640
2019-03-01,13,26017
2019-03-01,14,25171
2019-03-01,15,29089
2019-03-01,16,20079
2019-03-01,17,40593
2019-03-01,18,31704
2019-03-01,19,82744
2019-03-01,20,47855
2019-03-01,21,61331
2019-03-01,22,35108
2019-03-01,23,36055
2019-03-01,24,46529
2019-03-01,25,25304
2019-03-01,26,36988
2019-03-01,27,31182
2019-03-01,28,30769
2019-03-01,29,49561
2019-03-01,30,28064
2019-03-01,31,25068
2019-03-01,32,30378
2019-03-01,33,33822
2019-03-01,35,79218
2019-03-01,36,45212
2019-03-01,37,36522
2019-03-01,38,53747
2019-03-01,39,37558
2019-03-01,41,16426
2019-03-01,42,34383
2019-03-01,43,22394
2019-03-01,45,31638
2019-03-01,46,33942
2019-03-01,47,31773
2019-03-01,49,42810
2019-03-01,50,68804
2019-03-01,51,92028
2019-03-01,52,37357
2019-03-01,53,38399
2019-03-01,55,27007
